"Country Name","Years_Recorded","First_Year","Last_Year","Min_Population","Max_Population","Avg_Population"
"World","11","2002","2023","6327526596","8061876001","7.122265934E9"
"IDA & IBRD total","11","2002","2023","5267145775","6858957145","5.992610558E9"
"Low & middle income","11","2002","2023","5037637869","6633109634","5.764081457E9"
"Middle income","11","2002","2023","4624967024","5896643239","5.216179984E9"
"IBRD only","24","2000","2023","3983328255","4952574126","4.501911528E9"
"Early-demographic dividend","24","2000","2023","2509431470","3511076811","3.026082996E9"
"Upper middle income","24","2000","2023","2370143667","2816864459","2.612355971E9"
"Lower middle income","11","2002","2023","2210311164","3079778780","2.607382259E9"
"East Asia & Pacific","24","2000","2023","2050149617","2384463611","2.236451386E9"
"Late-demographic dividend","11","2002","2023","2072599555","2326658047","2.1978215E9"
